Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Earl Blumenauer,Male,White,,,Yes,No,Oregon,5/17/22,Representative,3,"96,386",94%,,,
Jonathan E. Polhemus,Male,White,,,No,Yes,Oregon,5/17/22,Representative,3,"5,392",5%,,,
Sami Al-Abdrabbuh,Male,Middle Eastern (Saudi),,,No,No,Oregon,5/17/22,Representative,4,"6,080",7%,,,
Doyle E. Canning,Female,White,,,No,No,Oregon,5/17/22,Representative,4,"14,245",16%,,,
Val Hoyle,Female,White,,,No,No,Oregon,5/17/22,Representative,4,"56,153",64%,,,
Andrew Kalloch,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"4,322",5%,,,
Steve William Laible,Male,White,,,No,No,Oregon,5/17/22,Representative,4,292,0%,,,
Jake Matthews,Male,Asian (Indian),,,No,No,Oregon,5/17/22,Representative,4,607,1%,,,
John S. Selker,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"4,738",5%,,,
G. Tommy Smith,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"1,278",1%,,,
Jamie McLeod-Skinner,Female,White,,,No,Yes,Oregon,5/17/22,Representative,5,"47,148",55%,,,
Kurt Schrader,Male,White,,,Yes,No,Oregon,5/17/22,Representative,5,"38,726",45%,,,
Teresa Alonso Leon,Female,Latino (Mexican),,,No,No,Oregon,5/17/22,Representative,6,"4,626",7%,,,
Ricky Barajas,Male,Latino (Mexican),,,No,No,Oregon,5/17/22,Representative,6,292,0%,,,
Carrick Flynn,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"13,052",18%,,,
Greg Goodwin,Male,Unknown,,,No,No,Oregon,5/17/22,Representative,6,217,0%,,,
Kathleen Harder,Female,White,,,No,No,Oregon,5/17/22,Representative,6,"5,510",8%,,,
Cody Reynolds,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"7,951",11%,,,
Andrea Salinas,Female,White,,,No,No,Oregon,5/17/22,Representative,6,"26,101",37%,,,
Loretta Smith,Female,Black,,,No,No,Oregon,5/17/22,Representative,6,"7,064",10%,,,
Matt West,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"5,658",8%,,,
David Beem,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,308",0%,,,
Julian Bell,Male,Unknown,,,No,No,Oregon,5/17/22,Governor,N/A,"3,926",1%,,,
Wilson R. Bright,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"2,316",0%,,,
George L. Carrillo,Male,Latino (Ecuadorian),,,No,No,Oregon,5/17/22,Governor,N/A,"9,365",2%,,,
Michael Cross,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,342",0%,,,
Ifeanyichukwu C. Diru,Male,Black (Nigerian),,,No,No,Oregon,5/17/22,Governor,N/A,"1,780",0%,,,
Peter W. Hall,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,982,0%,,,
Tina Kotek,Female,White,,,No,No,Oregon,5/17/22,Governor,N/A,"2,75,301",56%,,,
Keisha Lanell Merchant,Female,Black,,,No,No,Oregon,5/17/22,Governor,N/A,"1,755",0%,,,
Tobias Read,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,56,017",32%,,,
Patrick E. Starnes,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"10,524",2%,,,
Dave W. Stauffer,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"2,302",0%,,,
John Sweeney,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"4,193",1%,,,
Michael Trimble,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"5,000",1%,,,
Genevieve Wilson,Female,Black,,,No,No,Oregon,5/17/22,Governor,N/A,"1,588",0%,,,
Ben Pursley,Male,Unknown,,,No,No,Idaho,5/17/22,Senator,N/A,"13,987",42%,,,
David Roth,Male,White,,,No,No,Idaho,5/17/22,Senator,N/A,"19,160",58%,,,
Kaylee Peterson,Female,White,,,No,No,Idaho,5/17/22,Representative,1,"15,057",100%,,,
Wendy Norman,Female,White,,,No,No,Idaho,5/17/22,Representative,2,"17,150",100%,,,
Stephen Heidt,Male,White,,,No,No,Idaho,5/17/22,Governor,N/A,"25,088",80%,,,
